iter	Logloss
0	0.5685005807
1	0.4957730298
2	0.4578046831
3	0.431474934
4	0.413054583
5	0.3995103813
6	0.3879870993
7	0.3789415523
8	0.370714309
9	0.3646957553
10	0.3585884728
11	0.3517636625
12	0.3483053656
13	0.344997182
14	0.3425866473
15	0.3402021863
16	0.338396283
17	0.3365091528
18	0.3347884594
19	0.3333082208
20	0.3318154218
21	0.3291340823
22	0.3277994361
23	0.3268336338
24	0.3263850293
25	0.3259708068
26	0.3250867934
27	0.3231781348
28	0.322532108
29	0.3218778707
30	0.3207680155
31	0.3203309694
32	0.3193566877
33	0.3189422453
34	0.3184655144
35	0.317554963
36	0.3171627333
37	0.3168477474
38	0.3162121306
39	0.3157629395
40	0.315436053
41	0.3152166136
42	0.3150120315
43	0.3143104607
44	0.3140838126
45	0.3136939044
46	0.3135049372
47	0.3131237773
48	0.3127221396
49	0.3125256461
50	0.3122239535
51	0.3120349375
52	0.3118486828
53	0.3116496967
54	0.3113353705
55	0.3108423404
56	0.3106981409
57	0.310435791
58	0.3103348685
59	0.3101256435
60	0.3098830139
61	0.3097463896
62	0.3095884568
63	0.3087096728
64	0.3085220252
65	0.3080608603
66	0.3076745687
67	0.3075000435
68	0.3073807447
69	0.3072156031
70	0.3070632906
71	0.306662997
72	0.3065301604
73	0.3062691056
74	0.3061832115
75	0.306041309
76	0.3059360611
77	0.3058301291
78	0.3056955819
79	0.3055274102
80	0.3054257056
81	0.305273662
82	0.3051683164
83	0.3048416253
84	0.3046127534
85	0.3044430911
86	0.3043016284
87	0.3042177625
88	0.3041680832
89	0.3040342691
90	0.3039204441
91	0.3037457967
92	0.3036398891
93	0.3035543614
94	0.3034513373
95	0.3033471647
96	0.3032532065
97	0.3031210786
98	0.3030570062
99	0.3028877592
100	0.3026780455
101	0.3025689612
102	0.3024897137
103	0.3024357824
104	0.302361911
105	0.3022825414
106	0.3022173205
107	0.302131182
108	0.3020206803
109	0.3019673599
110	0.3016761262
111	0.3015313402
112	0.3013606515
113	0.3012227076
114	0.3011018694
115	0.3010592766
116	0.3007507418
117	0.3006464226
118	0.3005711827
119	0.3005229207
120	0.3004165732
121	0.3003621777
122	0.3002848118
123	0.300211307
124	0.3001521952
125	0.30012705
126	0.3000874385
